AREA,AREA_TITLE,AREA_TYPE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,A_MEDIAN,A_PCT25,A_PCT75,TOT_EMP
12420,"Austin-Round Rock-San Marcos, TX",4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,121940,116820,86300,153620,150
12420,"Austin-Round Rock-San Marcos, TX",4,17-2112,Industrial Engineers,detailed,111930,101090,79990,130320,3570
12420,"Austin-Round Rock-San Marcos, TX",4,17-2131,Materials Engineers,detailed,111020,103190,66290,141840,220
12420,"Austin-Round Rock-San Marcos, TX",4,17-2141,Mechanical Engineers,detailed,118860,110410,84120,155720,1570
12420,"Austin-Round Rock-San Marcos, TX",4,17-2171,Petroleum Engineers,detailed,198060,184250,128290,#,260
12420,"Austin-Round Rock-San Marcos, TX",4,17-2199,"Engineers, All Other",detailed,124330,122390,92500,163160,590
12420,"Austin-Round Rock-San Marcos, TX",4,17-3011,Architectural and Civil Drafters,detailed,71020,63730,56770,80980,1440
12420,"Austin-Round Rock-San Marcos, TX",4,17-3012,Electrical and Electronics Drafters,detailed,80060,76090,56910,89920,290
12420,"Austin-Round Rock-San Marcos, TX",4,17-3013,Mechanical Drafters,detailed,94920,81180,66500,111600,250
12420,"Austin-Round Rock-San Marcos, TX",4,17-3019,"Drafters, All Other",detailed,65320,62030,51940,74780,170
12420,"Austin-Round Rock-San Marcos, TX",4,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,88750,93010,66380,102350,60
12420,"Austin-Round Rock-San Marcos, TX",4,17-3022,Civil Engineering Technologists and Technicians,detailed,74030,71090,58760,84540,950
12420,"Austin-Round Rock-San Marcos, TX",4,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,70750,66240,51860,90410,1350
12420,"Austin-Round Rock-San Marcos, TX",4,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,67750,61740,50400,75340,140
12420,"Austin-Round Rock-San Marcos, TX",4,17-3025,Environmental Engineering Technologists and Technicians,detailed,66280,78360,49710,82180,70
12420,"Austin-Round Rock-San Marcos, TX",4,17-3026,Industrial Engineering Technologists and Technicians,detailed,63860,59440,48880,73790,740
12420,"Austin-Round Rock-San Marcos, TX",4,17-3027,Mechanical Engineering Technologists and Technicians,detailed,75070,75460,60740,85120,120
